study,trial,seed,unknown_byte_count,unknown_bytes,unknown_bits,plaintext,key,ciphertext,status,satisfiable,correct,candidate_valid,recovered_key,build_time,solve_time,total_time,timeout_seconds,variables,clauses,error
pairs,1,2026092201,2,2;6,16,54BA8825B09C8F61616A521C21320479,0A9F3C3E6F3CC51142E4162D4F217DD9,A59AA1012615A11C7600F5099465D3B9,SAT,True,True,True,0A9F3C3E6F3CC51142E4162D4F217DD9,0.45384316700074123,91.6070389589986,92.06265995899957,120,20736,343408,
pairs,1,2026092201,2,2;7,16,54BA8825B09C8F61616A521C21320479,0A9F3C3E6F3CC51142E4162D4F217DD9,A59AA1012615A11C7600F5099465D3B9,SAT,True,True,True,0A9F3C3E6F3CC51142E4162D4F217DD9,0.4476364170004672,32.21432074999939,32.66374341700066,120,20736,343408,
pairs,1,2026092201,2,2;8,16,54BA8825B09C8F61616A521C21320479,0A9F3C3E6F3CC51142E4162D4F217DD9,A59AA1012615A11C7600F5099465D3B9,SAT,True,True,True,0A9F3C3E6F3CC51142E4162D4F217DD9,0.4476619170000049,74.21457491699948,74.66401170800054,120,20736,343408,
pairs,1,2026092201,2,2;9,16,54BA8825B09C8F61616A521C21320479,0A9F3C3E6F3CC51142E4162D4F217DD9,A59AA1012615A11C7600F5099465D3B9,SAT,True,True,True,0A9F3C3E6F3CC51142E4162D4F217DD9,0.4478637499996694,33.209641000001284,33.65928908300157,120,20736,343408,
pairs,1,2026092201,2,2;10,16,54BA8825B09C8F61616A521C21320479,0A9F3C3E6F3CC51142E4162D4F217DD9,A59AA1012615A11C7600F5099465D3B9,SAT,True,True,True,0A9F3C3E6F3CC51142E4162D4F217DD9,0.4488995000010618,104.0387012909996,104.48943066600077,120,20736,343408,
pairs,1,2026092201,2,2;11,16,54BA8825B09C8F61616A521C21320479,0A9F3C3E6F3CC51142E4162D4F217DD9,A59AA1012615A11C7600F5099465D3B9,SAT,True,True,True,0A9F3C3E6F3CC51142E4162D4F217DD9,0.47360283299894945,77.73186387500027,78.20725437500005,120,20736,343408,
pairs,1,2026092201,2,2;12,16,54BA8825B09C8F61616A521C21320479,0A9F3C3E6F3CC51142E4162D4F217DD9,A59AA1012615A11C7600F5099465D3B9,SAT,True,True,True,0A9F3C3E6F3CC51142E4162D4F217DD9,0.45700487499925657,30.66873941599988,31.127525042000343,120,20736,343408,
pairs,1,2026092201,2,2;13,16,54BA8825B09C8F61616A521C21320479,0A9F3C3E6F3CC51142E4162D4F217DD9,A59AA1012615A11C7600F5099465D3B9,SAT,True,True,True,0A9F3C3E6F3CC51142E4162D4F217DD9,0.44834570800048823,13.709353541000382,14.159435541998391,120,20736,343408,
pairs,1,2026092201,2,2;14,16,54BA8825B09C8F61616A521C21320479,0A9F3C3E6F3CC51142E4162D4F217DD9,A59AA1012615A11C7600F5099465D3B9,SAT,True,True,True,0A9F3C3E6F3CC51142E4162D4F217DD9,0.46042791699983354,71.44323895799971,71.90553408300002,120,20736,343408,
pairs,1,2026092201,2,2;15,16,54BA8825B09C8F61616A521C21320479,0A9F3C3E6F3CC51142E4162D4F217DD9,A59AA1012615A11C7600F5099465D3B9,SAT,True,True,True,0A9F3C3E6F3CC51142E4162D4F217DD9,0.45304845799910254,37.12239487499937,37.57722287499928,120,20736,343408,
pairs,1,2026092201,2,3;4,16,54BA8825B09C8F61616A521C21320479,0A9F3C3E6F3CC51142E4162D4F217DD9,A59AA1012615A11C7600F5099465D3B9,SAT,True,True,True,0A9F3C3E6F3CC51142E4162D4F217DD9,0.4523347089998424,19.679386709000028,20.133454582999548,120,20736,343408,
pairs,1,2026092201,2,3;5,16,54BA8825B09C8F61616A521C21320479,0A9F3C3E6F3CC51142E4162D4F217DD9,A59AA1012615A11C7600F5099465D3B9,SAT,True,True,True,0A9F3C3E6F3CC51142E4162D4F217DD9,0.4469638339996891,84.78500449999956,85.23374429200157,120,20736,343408,
pairs,1,2026092201,2,3;6,16,54BA8825B09C8F61616A521C21320479,0A9F3C3E6F3CC51142E4162D4F217DD9,A59AA1012615A11C7600F5099465D3B9,SAT,True,True,True,0A9F3C3E6F3CC51142E4162D4F217DD9,0.4485422079997079,31.439847958001337,31.890168207999523,120,20736,343408,
pairs,1,2026092201,2,3;7,16,54BA8825B09C8F61616A521C21320479,0A9F3C3E6F3CC51142E4162D4F217DD9,A59AA1012615A11C7600F5099465D3B9,SAT,True,True,True,0A9F3C3E6F3CC51142E4162D4F217DD9,0.4561979589998373,110.11334941600035,110.57134204199974,120,20736,343408,
pairs,1,2026092201,2,3;8,16,54BA8825B09C8F61616A521C21320479,0A9F3C3E6F3CC51142E4162D4F217DD9,A59AA1012615A11C7600F5099465D3B9,SAT,True,True,True,0A9F3C3E6F3CC51142E4162D4F217DD9,0.44720425000014075,87.64211204200001,88.09110054200028,120,20736,343408,
pairs,1,2026092201,2,3;9,16,54BA8825B09C8F61616A521C21320479,0A9F3C3E6F3CC51142E4162D4F217DD9,A59AA1012615A11C7600F5099465D3B9,SAT,True,True,True,0A9F3C3E6F3CC51142E4162D4F217DD9,0.4522292500005278,27.767677208999885,28.221628540999518,120,20736,343408,
pairs,1,2026092201,2,3;10,16,54BA8825B09C8F61616A521C21320479,0A9F3C3E6F3CC51142E4162D4F217DD9,A59AA1012615A11C7600F5099465D3B9,SAT,True,True,True,0A9F3C3E6F3CC51142E4162D4F217DD9,0.45119945900114544,57.326309915999445,57.779359957999986,120,20736,343408,
pairs,1,2026092201,2,3;11,16,54BA8825B09C8F61616A521C21320479,0A9F3C3E6F3CC51142E4162D4F217DD9,A59AA1012615A11C7600F5099465D3B9,SAT,True,True,True,0A9F3C3E6F3CC51142E4162D4F217DD9,0.4942697919996135,90.02716300000066,90.52317779199984,120,20736,343408,
pairs,1,2026092201,2,3;12,16,54BA8825B09C8F61616A521C21320479,0A9F3C3E6F3CC51142E4162D4F217DD9,A59AA1012615A11C7600F5099465D3B9,SAT,True,True,True,0A9F3C3E6F3CC51142E4162D4F217DD9,0.45318529199903423,93.87007633299982,94.32503833400006,120,20736,343408,
pairs,1,2026092201,2,3;13,16,54BA8825B09C8F61616A521C21320479,0A9F3C3E6F3CC51142E4162D4F217DD9,A59AA1012615A11C7600F5099465D3B9,SAT,True,True,True,0A9F3C3E6F3CC51142E4162D4F217DD9,0.4495827909995569,47.37483124999926,47.82622720799918,120,20736,343408,
pairs,1,2026092201,2,3;14,16,54BA8825B09C8F61616A521C21320479,0A9F3C3E6F3CC51142E4162D4F217DD9,A59AA1012615A11C7600F5099465D3B9,SAT,True,True,True,0A9F3C3E6F3CC51142E4162D4F217DD9,0.450321291000364,22.271993415999532,22.72403879199919,120,20736,343408,
pairs,1,2026092201,2,3;15,16,54BA8825B09C8F61616A521C21320479,0A9F3C3E6F3CC51142E4162D4F217DD9,A59AA1012615A11C7600F5099465D3B9,SAT,True,True,True,0A9F3C3E6F3CC51142E4162D4F217DD9,0.46140716599984444,64.13486570799978,64.59806216700053,120,20736,343408,
pairs,1,2026092201,2,4;5,16,54BA8825B09C8F61616A521C21320479,0A9F3C3E6F3CC51142E4162D4F217DD9,A59AA1012615A11C7600F5099465D3B9,SAT,True,True,True,0A9F3C3E6F3CC51142E4162D4F217DD9,0.4758710410005733,86.86980874999972,87.34743308299949,120,20736,343408,
pairs,1,2026092201,2,4;6,16,54BA8825B09C8F61616A521C21320479,0A9F3C3E6F3CC51142E4162D4F217DD9,A59AA1012615A11C7600F5099465D3B9,SAT,True,True,True,0A9F3C3E6F3CC51142E4162D4F217DD9,0.4538834580016555,23.04400849999911,23.499618207999447,120,20736,343408,
pairs,1,2026092201,2,4;7,16,54BA8825B09C8F61616A521C21320479,0A9F3C3E6F3CC51142E4162D4F217DD9,A59AA1012615A11C7600F5099465D3B9,SAT,True,True,True,0A9F3C3E6F3CC51142E4162D4F217DD9,0.45259708400044474,68.87554333299886,69.32986916600021,120,20736,343408,
pairs,1,2026092201,2,4;8,16,54BA8825B09C8F61616A521C21320479,0A9F3C3E6F3CC51142E4162D4F217DD9,A59AA1012615A11C7600F5099465D3B9,SAT,True,True,True,0A9F3C3E6F3CC51142E4162D4F217DD9,0.45086650000121153,69.94501904200115,70.39772566700049,120,20736,343408,
pairs,1,2026092201,2,4;9,16,54BA8825B09C8F61616A521C21320479,0A9F3C3E6F3CC51142E4162D4F217DD9,A59AA1012615A11C7600F5099465D3B9,SAT,True,True,True,0A9F3C3E6F3CC51142E4162D4F217DD9,0.4547960419986339,76.1906139169987,76.6472165419982,120,20736,343408,
pairs,1,2026092201,2,4;10,16,54BA8825B09C8F61616A521C21320479,0A9F3C3E6F3CC51142E4162D4F217DD9,A59AA1012615A11C7600F5099465D3B9,SAT,True,True,True,0A9F3C3E6F3CC51142E4162D4F217DD9,0.4525149579967547,25.261730041998817,25.71608316700076,120,20736,343408,
pairs,1,2026092201,2,4;11,16,54BA8825B09C8F61616A521C21320479,0A9F3C3E6F3CC51142E4162D4F217DD9,A59AA1012615A11C7600F5099465D3B9,SAT,True,True,True,0A9F3C3E6F3CC51142E4162D4F217DD9,0.4555499169982795,38.02025316700019,38.477604542000336,120,20736,343408,
