study,trial,seed,unknown_byte_count,unknown_bytes,unknown_bits,plaintext,key,ciphertext,status,satisfiable,correct,candidate_valid,recovered_key,build_time,solve_time,total_time,timeout_seconds,variables,clauses,error
single,2,2026092202,1,14,8,B899811E605E419BAE301C265D754207,B7608EC5A5C23596F8EA64EAB55CEE7B,60446E0182BDCA35C94A64AF5A36300C,SAT,True,True,True,B7608EC5A5C23596F8EA64EAB55CEE7B,0.4506937090000065,6.249855791999835,6.702285332999963,60,20736,343416,
single,2,2026092202,1,15,8,B899811E605E419BAE301C265D754207,B7608EC5A5C23596F8EA64EAB55CEE7B,60446E0182BDCA35C94A64AF5A36300C,SAT,True,True,True,B7608EC5A5C23596F8EA64EAB55CEE7B,0.46189370800038887,5.47913541700018,5.942820666999978,60,20736,343416,
single,3,2026092203,1,0,8,3038FE80E479B85E8FF9943498EFA8A9,7C6FB8C03288380794B939E4064293F4,C462599C6439D2256C8BF9524973EB28,SAT,True,True,True,7C6FB8C03288380794B939E4064293F4,0.4592223749996265,5.642928833000042,6.1038799159996415,60,20736,343416,
single,3,2026092203,1,1,8,3038FE80E479B85E8FF9943498EFA8A9,7C6FB8C03288380794B939E4064293F4,C462599C6439D2256C8BF9524973EB28,SAT,True,True,True,7C6FB8C03288380794B939E4064293F4,0.4504799169999387,6.158881917000144,6.6110847909994845,60,20736,343416,
single,3,2026092203,1,2,8,3038FE80E479B85E8FF9943498EFA8A9,7C6FB8C03288380794B939E4064293F4,C462599C6439D2256C8BF9524973EB28,SAT,True,True,True,7C6FB8C03288380794B939E4064293F4,0.4603422909995061,6.405595332999837,6.867670292000184,60,20736,343416,
single,3,2026092203,1,3,8,3038FE80E479B85E8FF9943498EFA8A9,7C6FB8C03288380794B939E4064293F4,C462599C6439D2256C8BF9524973EB28,SAT,True,True,True,7C6FB8C03288380794B939E4064293F4,0.47238287500022125,6.367918750000172,6.842019791999519,60,20736,343416,
single,3,2026092203,1,4,8,3038FE80E479B85E8FF9943498EFA8A9,7C6FB8C03288380794B939E4064293F4,C462599C6439D2256C8BF9524973EB28,SAT,True,True,True,7C6FB8C03288380794B939E4064293F4,0.44761004200063326,6.9299709169999915,7.379409041999679,60,20736,343416,
single,3,2026092203,1,5,8,3038FE80E479B85E8FF9943498EFA8A9,7C6FB8C03288380794B939E4064293F4,C462599C6439D2256C8BF9524973EB28,SAT,True,True,True,7C6FB8C03288380794B939E4064293F4,0.46489924999968935,5.50763999999981,5.974446582999917,60,20736,343416,
single,3,2026092203,1,6,8,3038FE80E479B85E8FF9943498EFA8A9,7C6FB8C03288380794B939E4064293F4,C462599C6439D2256C8BF9524973EB28,SAT,True,True,True,7C6FB8C03288380794B939E4064293F4,0.4523692499997196,5.369978249999804,5.824256541999603,60,20736,343416,
single,3,2026092203,1,7,8,3038FE80E479B85E8FF9943498EFA8A9,7C6FB8C03288380794B939E4064293F4,C462599C6439D2256C8BF9524973EB28,SAT,True,True,True,7C6FB8C03288380794B939E4064293F4,0.46727924999959214,5.020453457999793,5.490413083000021,60,20736,343416,
single,3,2026092203,1,8,8,3038FE80E479B85E8FF9943498EFA8A9,7C6FB8C03288380794B939E4064293F4,C462599C6439D2256C8BF9524973EB28,SAT,True,True,True,7C6FB8C03288380794B939E4064293F4,0.44953137499942386,5.998667791000116,6.449962333000258,60,20736,343416,
single,3,2026092203,1,9,8,3038FE80E479B85E8FF9943498EFA8A9,7C6FB8C03288380794B939E4064293F4,C462599C6439D2256C8BF9524973EB28,SAT,True,True,True,7C6FB8C03288380794B939E4064293F4,0.4494066669994936,5.290195374999712,5.741339875000449,60,20736,343416,
single,3,2026092203,1,10,8,3038FE80E479B85E8FF9943498EFA8A9,7C6FB8C03288380794B939E4064293F4,C462599C6439D2256C8BF9524973EB28,SAT,True,True,True,7C6FB8C03288380794B939E4064293F4,0.45109079199937696,6.664091208000173,7.116909667000073,60,20736,343416,
single,3,2026092203,1,11,8,3038FE80E479B85E8FF9943498EFA8A9,7C6FB8C03288380794B939E4064293F4,C462599C6439D2256C8BF9524973EB28,SAT,True,True,True,7C6FB8C03288380794B939E4064293F4,0.4519501250006215,4.931482916000277,5.385201375000179,60,20736,343416,
single,3,2026092203,1,12,8,3038FE80E479B85E8FF9943498EFA8A9,7C6FB8C03288380794B939E4064293F4,C462599C6439D2256C8BF9524973EB28,SAT,True,True,True,7C6FB8C03288380794B939E4064293F4,0.4576164999998582,5.683478208000452,6.142817749999267,60,20736,343416,
single,3,2026092203,1,13,8,3038FE80E479B85E8FF9943498EFA8A9,7C6FB8C03288380794B939E4064293F4,C462599C6439D2256C8BF9524973EB28,SAT,True,True,True,7C6FB8C03288380794B939E4064293F4,0.44779095800004143,5.497377624999899,5.94691524999962,60,20736,343416,
single,3,2026092203,1,14,8,3038FE80E479B85E8FF9943498EFA8A9,7C6FB8C03288380794B939E4064293F4,C462599C6439D2256C8BF9524973EB28,SAT,True,True,True,7C6FB8C03288380794B939E4064293F4,0.4492980839995653,5.432588874999965,5.883613250000053,60,20736,343416,
