row_type,experiment,kat,position_mode,trial,seed,divide_trial,divide_seed,unknown_bits,known_bits,split_bits,split_positions,max_workers,branch_id,assignment,branch_order,status,satisfiable,correct,recovered_key,solve_time,experiment_wall_time,baseline_solve_time,variables,clauses
branch,count1089_random1_20_split5_divide2_workers4,count1089,random,1,20262917,2,20260920,20,108,5,33;63;99;103;122,4,10101,10101,8,UNSAT,False,False,,207.88616820899188,530.8681583340076,2247.9578224160014,105092,1723792
branch,count1089_random1_20_split5_divide2_workers4,count1089,random,1,20262917,2,20260920,20,108,5,33;63;99;103;122,4,10011,10011,7,UNSAT,False,False,,323.9654040000023,590.8983871670061,2247.9578224160014,105092,1723792
branch,count1089_random1_20_split5_divide2_workers4,count1089,random,1,20262917,2,20260920,20,108,5,33;63;99;103;122,4,11111,11111,10,UNSAT,False,False,,233.14456433299347,730.801072125003,2247.9578224160014,105092,1723792
branch,count1089_random1_20_split5_divide2_workers4,count1089,random,1,20262917,2,20260920,20,108,5,33;63;99;103;122,4,11100,11100,9,UNSAT,False,False,,292.57527883400326,768.3145942500123,2247.9578224160014,105092,1723792
branch,count1089_random1_20_split5_divide2_workers4,count1089,random,1,20262917,2,20260920,20,108,5,33;63;99;103;122,4,10100,10100,11,UNSAT,False,False,,265.73674104199745,796.6768123340007,2247.9578224160014,105092,1723792
branch,count1089_random1_20_split5_divide2_workers4,count1089,random,1,20262917,2,20260920,20,108,5,33;63;99;103;122,4,10001,10001,12,UNSAT,False,False,,238.35276987499674,829.3396957500081,2247.9578224160014,105092,1723792
branch,count1089_random1_20_split5_divide2_workers4,count1089,random,1,20262917,2,20260920,20,108,5,33;63;99;103;122,4,11110,11110,14,UNSAT,False,False,,204.1452659170027,972.544625584007,2247.9578224160014,105092,1723792
branch,count1089_random1_20_split5_divide2_workers4,count1089,random,1,20262917,2,20260920,20,108,5,33;63;99;103;122,4,11001,11001,13,UNSAT,False,False,,247.8883155000076,978.7816482920025,2247.9578224160014,105092,1723792
branch,count1089_random1_20_split5_divide2_workers4,count1089,random,1,20262917,2,20260920,20,108,5,33;63;99;103;122,4,10010,10010,15,UNSAT,False,False,,229.09470766699815,1025.8661472090025,2247.9578224160014,105092,1723792
branch,count1089_random1_20_split5_divide2_workers4,count1089,random,1,20262917,2,20260920,20,108,5,33;63;99;103;122,4,00101,00101,16,UNSAT,False,False,,308.03317687500385,1137.478166334011,2247.9578224160014,105092,1723792
branch,count1089_random1_20_split5_divide2_workers4,count1089,random,1,20262917,2,20260920,20,108,5,33;63;99;103;122,4,01000,01000,18,SAT,True,True,000102030405060708090A0B0C0D0E0F,276.22032208400196,1255.1094095000008,2247.9578224160014,105092,1723792
summary,count1089_random1_20_split5_divide2_workers4,count1089,random,1,20262917,2,20260920,20,108,5,33;63;99;103;122,4,01000,01000,18,SAT_FOUND,True,True,000102030405060708090A0B0C0D0E0F,276.22032208400196,1255.1590582920035,2247.9578224160014,105092,1723792
branch,count1089_random1_20_split5_divide3_workers4,count1089,random,1,20262917,3,20260921,20,108,5,19;25;43;54;122,4,00101,00101,2,UNSAT,False,False,,250.68422820899286,250.7965290419961,2247.9578224160014,105092,1723792
branch,count1089_random1_20_split5_divide3_workers4,count1089,random,1,20262917,3,20260921,20,108,5,19;25;43;54;122,4,01101,01101,4,UNSAT,False,False,,284.7060564580024,284.9631506250007,2247.9578224160014,105092,1723792
branch,count1089_random1_20_split5_divide3_workers4,count1089,random,1,20262917,3,20260921,20,108,5,19;25;43;54;122,4,01110,01110,1,UNSAT,False,False,,304.2475212499994,304.2951007500087,2247.9578224160014,105092,1723792
branch,count1089_random1_20_split5_divide3_workers4,count1089,random,1,20262917,3,20260921,20,108,5,19;25;43;54;122,4,00001,00001,3,UNSAT,False,False,,324.4121128330007,324.58753708400764,2247.9578224160014,105092,1723792
branch,count1089_random1_20_split5_divide3_workers4,count1089,random,1,20262917,3,20260921,20,108,5,19;25;43;54;122,4,00011,00011,5,UNSAT,False,False,,301.9679345409968,552.9061238340073,2247.9578224160014,105092,1723792
branch,count1089_random1_20_split5_divide3_workers4,count1089,random,1,20262917,3,20260921,20,108,5,19;25;43;54;122,4,10101,10101,8,UNSAT,False,False,,250.74398608300544,575.4198225840082,2247.9578224160014,105092,1723792
branch,count1089_random1_20_split5_divide3_workers4,count1089,random,1,20262917,3,20260921,20,108,5,19;25;43;54;122,4,11011,11011,6,UNSAT,False,False,,326.77126133399724,611.8386845000059,2247.9578224160014,105092,1723792
branch,count1089_random1_20_split5_divide3_workers4,count1089,random,1,20262917,3,20260921,20,108,5,19;25;43;54;122,4,10001,10001,7,UNSAT,False,False,,348.00873537499865,652.4210396249982,2247.9578224160014,105092,1723792
branch,count1089_random1_20_split5_divide3_workers4,count1089,random,1,20262917,3,20260921,20,108,5,19;25;43;54;122,4,00111,00111,11,UNSAT,False,False,,262.20871508299024,874.125584709007,2247.9578224160014,105092,1723792
branch,count1089_random1_20_split5_divide3_workers4,count1089,random,1,20262917,3,20260921,20,108,5,19;25;43;54;122,4,10110,10110,9,UNSAT,False,False,,377.3874843750091,930.3949487089994,2247.9578224160014,105092,1723792
branch,count1089_random1_20_split5_divide3_workers4,count1089,random,1,20262917,3,20260921,20,108,5,19;25;43;54;122,4,01000,01000,10,UNSAT,False,False,,363.9102845410089,939.4090485000052,2247.9578224160014,105092,1723792
branch,count1089_random1_20_split5_divide3_workers4,count1089,random,1,20262917,3,20260921,20,108,5,19;25;43;54;122,4,00100,00100,12,UNSAT,False,False,,362.6041603749909,1015.1115888339991,2247.9578224160014,105092,1723792
branch,count1089_random1_20_split5_divide3_workers4,count1089,random,1,20262917,3,20260921,20,108,5,19;25;43;54;122,4,01111,01111,13,UNSAT,False,False,,243.1015074589959,1117.3484398340079,2247.9578224160014,105092,1723792
branch,count1089_random1_20_split5_divide3_workers4,count1089,random,1,20262917,3,20260921,20,108,5,19;25;43;54;122,4,11001,11001,15,UNSAT,False,False,,259.07722208299674,1198.596133250001,2247.9578224160014,105092,1723792
branch,count1089_random1_20_split5_divide3_workers4,count1089,random,1,20262917,3,20260921,20,108,5,19;25;43;54;122,4,10011,10011,16,UNSAT,False,False,,290.9578548749996,1306.1928619999962,2247.9578224160014,105092,1723792
branch,count1089_random1_20_split5_divide3_workers4,count1089,random,1,20262917,3,20260921,20,108,5,19;25;43;54;122,4,10100,10100,14,UNSAT,False,False,,387.0776289159985,1317.661663375009,2247.9578224160014,105092,1723792
branch,count1089_random1_20_split5_divide3_workers4,count1089,random,1,20262917,3,20260921,20,108,5,19;25;43;54;122,4,00000,00000,18,UNSAT,False,False,,197.33987691700167,1396.0529059590044,2247.9578224160014,105092,1723792
branch,count1089_random1_20_split5_divide3_workers4,count1089,random,1,20262917,3,20260921,20,108,5,19;25;43;54;122,4,10000,10000,17,UNSAT,False,False,,403.6474663330009,1521.102092250003,2247.9578224160014,105092,1723792
branch,count1089_random1_20_split5_divide3_workers4,count1089,random,1,20262917,3,20260921,20,108,5,19;25;43;54;122,4,11100,11100,19,UNSAT,False,False,,236.16543637499854,1542.445591249998,2247.9578224160014,105092,1723792
branch,count1089_random1_20_split5_divide3_workers4,count1089,random,1,20262917,3,20260921,20,108,5,19;25;43;54;122,4,10010,10010,20,UNSAT,False,False,,229.4230361660011,1547.1610724589991,2247.9578224160014,105092,1723792
branch,count1089_random1_20_split5_divide3_workers4,count1089,random,1,20262917,3,20260921,20,108,5,19;25;43;54;122,4,11110,11110,21,UNSAT,False,False,,237.4132103340089,1633.5414357499976,2247.9578224160014,105092,1723792
branch,count1089_random1_20_split5_divide3_workers4,count1089,random,1,20262917,3,20260921,20,108,5,19;25;43;54;122,4,01001,01001,23,UNSAT,False,False,,216.50199808299658,1759.0250467919977,2247.9578224160014,105092,1723792
branch,count1089_random1_20_split5_divide3_workers4,count1089,random,1,20262917,3,20260921,20,108,5,19;25;43;54;122,4,11000,11000,22,UNSAT,False,False,,281.03060891600035,1802.2072759169969,2247.9578224160014,105092,1723792
branch,count1089_random1_20_split5_divide3_workers4,count1089,random,1,20262917,3,20260921,20,108,5,19;25;43;54;122,4,11101,11101,24,UNSAT,False,False,,355.98206120799296,1903.229568625,2247.9578224160014,105092,1723792
branch,count1089_random1_20_split5_divide3_workers4,count1089,random,1,20262917,3,20260921,20,108,5,19;25;43;54;122,4,00010,00010,25,SAT,True,True,000102030405060708090A0B0C0D0E0F,298.8408871249994,1932.492804959009,2247.9578224160014,105092,1723792
summary,count1089_random1_20_split5_divide3_workers4,count1089,random,1,20262917,3,20260921,20,108,5,19;25;43;54;122,4,00010,00010,25,SAT_FOUND,True,True,000102030405060708090A0B0C0D0E0F,298.8408871249994,1932.533912334009,2247.9578224160014,105092,1723792
branch,count1089_random1_20_split5_divide1_workers1,count1089,random,1,20262917,1,20260919,20,108,5,28;33;71;76;97,1,11001,11001,1,UNSAT,False,False,,232.8923203329905,232.9163122500031,2247.9578224160014,105092,1723792
branch,count1089_random1_20_split5_divide1_workers1,count1089,random,1,20262917,1,20260919,20,108,5,28;33;71;76;97,1,10111,10111,2,UNSAT,False,False,,129.64087974998984,362.6068294579891,2247.9578224160014,105092,1723792
branch,count1089_random1_20_split5_divide1_workers1,count1089,random,1,20262917,1,20260919,20,108,5,28;33;71;76;97,1,00110,00110,3,UNSAT,False,False,,191.2017379589961,553.8740222909983,2247.9578224160014,105092,1723792
branch,count1089_random1_20_split5_divide1_workers1,count1089,random,1,20262917,1,20260919,20,108,5,28;33;71;76;97,1,10011,10011,4,UNSAT,False,False,,158.5936037920037,712.5303960409947,2247.9578224160014,105092,1723792
branch,count1089_random1_20_split5_divide1_workers1,count1089,random,1,20262917,1,20260919,20,108,5,28;33;71;76;97,1,10000,10000,5,UNSAT,False,False,,110.92657704198791,823.5531238749973,2247.9578224160014,105092,1723792
branch,count1089_random1_20_split5_divide1_workers1,count1089,random,1,20262917,1,20260919,20,108,5,28;33;71;76;97,1,11011,11011,6,UNSAT,False,False,,148.20399183299742,971.8384021660022,2247.9578224160014,105092,1723792
