Bity,Wzorzec,Czas_s,Status,Solver
12,every_4th,7.2494,OK,Kissat404
12,random,11.4906,OK,Kissat404
16,first,77.4247,OK,Kissat404
16,last,113.3075,OK,Kissat404
16,every_2nd,131.3975,OK,Kissat404
16,every_4th,66.4290,OK,Kissat404
16,random,37.2553,OK,Kissat404
17,first,107.3295,OK,Kissat404
17,last,16.6393,OK,Kissat404
17,every_2nd,113.0374,OK,Kissat404
17,every_4th,22.5404,OK,Kissat404
17,random,186.9261,OK,Kissat404
18,first,134.1902,OK,Kissat404
18,last,20.1956,OK,Kissat404
18,every_2nd,109.3048,OK,Kissat404
18,every_4th,6.7558,OK,Kissat404
18,random,179.2272,OK,Kissat404
19,first,152.6226,OK,Kissat404
19,last,117.2301,OK,Kissat404
19,every_2nd,114.4581,OK,Kissat404
19,every_4th,143.1127,OK,Kissat404
19,random,77.2479,OK,Kissat404
20,first,1817.5550,OK,Kissat404
20,last,17.4052,OK,Kissat404
20,every_2nd,19.5770,OK,Kissat404
20,every_4th,318.4931,OK,Kissat404
20,random,287.2473,OK,Kissat404
21,first,1281.0350,OK,Kissat404
21,last,197.8762,OK,Kissat404
21,every_2nd,114.8162,OK,Kissat404
21,every_4th,338.0413,OK,Kissat404
21,random,288.7167,OK,Kissat404
4,first,0.0148,OK,Kissat404
4,last,0.0094,OK,Kissat404
4,every_2nd,0.4362,OK,Kissat404
4,every_4th,0.3916,OK,Kissat404
4,random,0.2184,OK,Kissat404
8,first,1.2570,OK,Kissat404
8,last,0.0078,OK,Kissat404
8,every_2nd,0.7778,OK,Kissat404
8,every_4th,0.7227,OK,Kissat404
8,random,0.8122,OK,Kissat404
12,first,8.9606,OK,Kissat404
12,last,0.0079,OK,Kissat404
12,every_2nd,7.8388,OK,Kissat404
12,every_4th,8.0661,OK,Kissat404
12,random,13.1277,OK,Kissat404
16,first,90.0218,OK,Kissat404
16,last,133.7317,OK,Kissat404
16,every_2nd,153.0840,OK,Kissat404
16,every_4th,77.5576,OK,Kissat404
16,random,42.2311,OK,Kissat404
17,first,119.4711,OK,Kissat404
17,last,18.2522,OK,Kissat404
17,every_2nd,123.1630,OK,Kissat404
17,every_4th,25.3952,OK,Kissat404
17,random,213.2534,OK,Kissat404
18,first,150.8562,OK,Kissat404
18,last,23.5248,OK,Kissat404
18,every_2nd,120.0580,OK,Kissat404
18,every_4th,7.2518,OK,Kissat404
18,random,197.3786,OK,Kissat404
19,first,173.5893,OK,Kissat404
19,last,117.0631,OK,Kissat404
19,every_2nd,120.0062,OK,Kissat404
19,every_4th,151.0785,OK,Kissat404
19,random,80.2991,OK,Kissat404
20,first,2061.7281,OK,Kissat404
20,last,20.2504,OK,Kissat404
20,every_2nd,22.1485,OK,Kissat404
20,every_4th,342.3508,OK,Kissat404
20,random,329.1558,OK,Kissat404
21,first,1416.1011,OK,Kissat404
21,last,229.1861,OK,Kissat404
21,every_2nd,133.2088,OK,Kissat404
21,every_4th,394.1933,OK,Kissat404
21,random,334.4068,OK,Kissat404
4,first,0.0146,OK,Kissat404
4,last,0.0088,OK,Kissat404
4,every_2nd,0.3127,OK,Kissat404
4,every_4th,0.3662,OK,Kissat404
4,random,0.1614,OK,Kissat404
8,first,0.7591,OK,Kissat404
8,last,0.0072,OK,Kissat404
8,every_2nd,0.4576,OK,Kissat404
8,every_4th,0.4221,OK,Kissat404
8,random,0.5446,OK,Kissat404
12,first,5.0944,OK,Kissat404
12,last,0.0068,OK,Kissat404
12,every_2nd,4.6191,OK,Kissat404
12,every_4th,4.8800,OK,Kissat404
12,random,13.5508,OK,Kissat404
16,first,74.6188,OK,Kissat404
16,last,84.7045,OK,Kissat404
16,every_2nd,97.5243,OK,Kissat404
16,every_4th,46.7446,OK,Kissat404
16,random,26.0221,OK,Kissat404
17,first,82.0885,OK,Kissat404
17,last,11.3726,OK,Kissat404
17,every_2nd,80.3294,OK,Kissat404
17,every_4th,15.9055,OK,Kissat404
17,random,143.0623,OK,Kissat404
18,first,93.9042,OK,Kissat404
18,last,14.4994,OK,Kissat404
18,every_2nd,77.5298,OK,Kissat404
18,every_4th,5.2653,OK,Kissat404
18,random,134.7227,OK,Kissat404
19,first,122.5089,OK,Kissat404
19,last,77.8118,OK,Kissat404
19,every_2nd,74.2054,OK,Kissat404
19,every_4th,90.6796,OK,Kissat404
19,random,52.2998,OK,Kissat404
4,first,0.0143,OK,Kissat404
4,last,0.0206,OK,Kissat404
4,every_2nd,0.2950,OK,Kissat404
4,every_4th,0.3616,OK,Kissat404
4,random,0.1711,OK,Kissat404
8,first,0.7987,OK,Kissat404
8,last,0.0071,OK,Kissat404
8,every_2nd,0.5849,OK,Kissat404
8,every_4th,0.4603,OK,Kissat404
8,random,0.6176,OK,Kissat404
12,first,5.8259,OK,Kissat404
