byte_a,byte_b,cases,sat,timeouts,errors,correct,candidate_valid,mean,median,min,max,stdev
3,5,5,5,0,0,5,5,72.12809909160096,61.205410166003276,54.928370416997495,98.82134833300006,18.801094972639472
3,6,5,5,0,0,5,5,57.668007166601456,31.439847958001337,26.830112125000596,114.5357984580005,39.9683377688453
3,7,5,5,0,0,5,5,73.91876654180051,64.9291485419999,33.687583834002,110.11334941600035,30.181724478926668
3,8,5,5,0,0,5,5,46.87075460839951,40.86149308400127,17.38241329199809,87.64211204200001,30.15706831025163
3,9,5,5,0,0,5,5,64.43814498360044,68.21371900000304,27.767677208999885,101.63101845799974,32.2941659696248
3,10,5,5,0,0,5,5,69.55264524160012,69.90248041700397,39.37311820899777,91.92534070799957,22.070231998925802
3,11,5,5,0,0,5,5,64.1979103338006,59.371207208998385,24.49566395900183,92.18333966700447,28.000557166671896
3,12,5,5,0,0,5,5,44.89981602479857,40.42421445799846,8.297546915997373,93.87007633299982,31.448595230878407
3,13,5,5,0,0,5,5,48.144851558200024,47.37483124999926,10.7352027909983,85.43420629200409,29.1145580104345
3,14,5,5,0,0,5,5,48.09087426640072,33.187466916999256,22.271993415999532,90.12577891600085,28.287162662980446
3,15,5,5,0,0,5,5,71.26696939179928,82.35888045899992,8.889112917000602,116.2346489579977,39.5850319514916
4,5,5,5,0,0,5,5,52.70452364160046,63.48214150000058,10.051347957996768,88.02687208299903,37.96397532156129
4,6,5,5,0,0,5,5,39.238979966600525,23.04400849999911,8.658022666000761,95.17281687500508,35.97213468788728
4,7,5,5,0,0,5,5,41.00711745840126,36.09555458400064,17.646523250004975,68.87554333299886,18.945423624391147
4,8,5,4,1,0,4,4,62.08304435424952,71.55037308349984,13.15570820799985,92.07572304199857,34.04829876791279
4,9,5,5,0,0,5,5,80.47820547500014,76.1906139169987,63.82410795800024,93.34943883300002,12.732994647583462
4,10,5,5,0,0,5,5,70.44933539180128,73.20812687500438,25.261730041998817,98.63180587500028,30.846433796444284
4,11,5,5,0,0,5,5,60.58710617499965,69.6980896669993,34.19405462500072,84.72139199999947,23.012385567545344
4,12,5,5,0,0,5,5,68.86016472520059,58.486056666002696,27.00104995899892,116.76655683400168,36.16382802736047
4,13,5,5,0,0,5,5,56.65227863359978,36.45761245799804,10.200141833003727,101.40273045899812,41.97601993514857
4,14,5,5,0,0,5,5,49.1883590331985,35.393351457998506,8.090187166002579,112.63120958399668,40.67084779953888
4,15,5,4,1,0,4,4,71.09057816675067,81.84159241700036,13.449964750001527,107.22916308300046,43.48172225376507
5,6,5,5,0,0,5,5,75.094286766601,76.38332725000146,54.5033890420018,96.16676179099886,16.37246113888578
5,7,5,4,1,0,4,4,45.12249808349952,43.39998772949912,20.920652542001335,72.76936433299852,21.26147134631307
5,8,5,5,0,0,5,5,54.01323814179923,56.64428741699521,16.07097341699773,87.18334450000111,26.163565494481407
5,9,5,5,0,0,5,5,66.29367720840018,63.911508249999315,37.69805154200003,99.98024908299703,23.749091285165104
5,10,5,5,0,0,5,5,54.53075085819946,41.34754766599508,26.007356207999692,108.97348924999824,34.03679514200737
5,11,5,5,0,0,5,5,50.030919633198934,63.329802124997514,19.534269499999937,79.25316000000021,27.620426749528335
5,12,5,5,0,0,5,5,52.225671608199626,46.349690041999565,17.17318562499713,94.70308808299887,28.360758595371053
5,13,5,4,1,0,4,4,29.30271853125123,15.792364646000351,8.747307333003846,76.87883750000037,32.0834302825113
5,14,5,5,0,0,5,5,37.40864628359996,24.915219417001936,20.30594733399994,85.94935604200145,27.82040730685747
5,15,5,5,0,0,5,5,58.32941676679839,45.876009832998534,21.929207958994084,101.57654641699992,39.06884521636203
6,7,5,5,0,0,5,5,63.55937599180106,63.12720400000035,11.293352417000278,105.1903258750026,35.77601304519552
6,8,5,5,0,0,5,5,34.35858856660052,31.77340458300023,7.213955125000211,70.01787783300097,23.68747606549148
6,9,5,5,0,0,5,5,44.735216466599375,35.03761008299625,15.668172999998205,79.02800787500018,25.603321178049
6,10,5,5,0,0,5,5,55.94126556659903,49.440715167002054,33.09047608299443,100.09431712500009,25.81307881762582
6,11,5,5,0,0,5,5,73.25580424180153,72.6897157500025,42.43739962499967,109.5863282920036,30.71116319399414
6,12,5,5,0,0,5,5,62.33229452520027,70.06441958299911,18.284313208998356,102.74437675000081,35.7210440311783
6,13,5,5,0,0,5,5,60.916576258200074,58.95152391699958,21.044265832999372,117.28008504099853,40.075060301032934
6,14,5,5,0,0,5,5,71.50319114999948,72.85072629199567,35.31363391699779,92.95427312500397,22.341133092391665
6,15,5,5,0,0,5,5,37.519528625001115,28.142187333003676,13.715177082998707,79.83152649999829,25.699108619035083
7,8,5,4,1,0,4,4,29.735456041748876,14.30491133349824,6.952405707997968,83.37959579200106,35.932150111774305
7,9,5,5,0,0,5,5,64.19985144179881,64.2139109589989,24.904464624996763,90.72642149999956,24.61532525952923
7,10,5,5,0,0,5,5,46.57231070820126,45.43186808300379,25.69003325000085,65.31497762500294,14.624052372477086
7,11,5,5,0,0,5,5,32.708978166598534,29.311442040998372,11.979273083998123,77.69594183299705,26.62044081414798
7,12,5,5,0,0,5,5,59.659474583400154,85.87520804099768,18.329349167001055,87.3997105840026,36.94427024732068
7,13,5,5,0,0,5,5,35.38815750839858,33.841027499998745,11.222883999998885,61.896264832997986,22.102727450585398
7,14,5,5,0,0,5,5,55.52046235839807,64.82148654199773,16.609171374999278,86.7373817919979,30.43009269183136
7,15,5,5,0,0,5,5,53.97804771660085,43.37191116699978,15.819986875001632,90.47996191600032,32.24998233348669
8,9,5,5,0,0,5,5,63.164334808600685,54.70141549999971,21.42409441700147,97.42327229200237,31.082807230817153
8,10,5,5,0,0,5,5,70.55525941660017,81.73724562500138,19.415389000001596,92.48899700000038,30.289241906085145
8,11,5,5,0,0,5,5,44.12899621679971,40.367767708004976,15.19368541699805,87.21549020800012,30.227912306420773
8,12,5,5,0,0,5,5,55.98159710879918,43.89048154199554,23.304940084002737,106.020587084,33.757749292692246
8,13,5,4,1,0,4,4,54.40193787475164,51.068890520500645,6.513577875004557,108.9563925830007,44.11532487676458
8,14,5,5,0,0,5,5,47.93970307499912,58.31417149999834,14.659198916997411,73.3502316249942,24.593693552198992
8,15,5,5,0,0,5,5,53.03018033360058,50.51214579099906,29.900099709000642,84.33703145899926,19.614207419493496
9,10,5,4,1,0,4,4,52.3139784267496,45.87128981249771,28.34923241600336,89.16410166599962,26.07577183171227
